Name,Age,Overall,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
Adrián,30,77,16000,Right,2.0,3.0,3.0,78.0,78.0,78.0,77.0,79.0,79.0,79.0,77.0,77.0,77.0,77.0,74.0,69.0,69.0,69.0,74.0,52.0,52.0,52.0,52.0,52.0,48.0,46.0,46.0,46.0,48.0,60.0,80.0,71.0,73.0,76.0,82.0,77.0,57.0,55.0,84.0,70.0,61.0,73.0,77.0,65.0,78.0,74.0,48.0,68.0,77.0,58.0,32.0,78.0,71.0,67.0,66.0,20.0,19.0,16.0
G. González,30,77,30000,Right,1.0,3.0,2.0,58.0,58.0,58.0,55.0,57.0,57.0,57.0,55.0,56.0,56.0,56.0,57.0,60.0,60.0,60.0,57.0,68.0,72.0,72.0,72.0,68.0,70.0,78.0,78.0,78.0,70.0,33.0,40.0,72.0,60.0,38.0,59.0,45.0,22.0,60.0,60.0,68.0,68.0,58.0,73.0,61.0,68.0,73.0,66.0,77.0,41.0,79.0,77.0,37.0,45.0,35.0,68.0,84.0,80.0,76.0
Otávio,24,77,32000,Right,2.0,3.0,3.0,64.0,64.0,64.0,66.0,66.0,66.0,66.0,66.0,67.0,67.0,67.0,68.0,70.0,70.0,70.0,68.0,75.0,77.0,77.0,77.0,75.0,75.0,78.0,78.0,78.0,75.0,59.0,44.0,64.0,76.0,49.0,69.0,47.0,49.0,69.0,72.0,68.0,66.0,72.0,74.0,70.0,66.0,74.0,78.0,73.0,52.0,80.0,81.0,59.0,53.0,48.0,74.0,80.0,80.0,76.0
D. Janmaat,28,77,50000,Right,2.0,3.0,3.0,72.0,72.0,72.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,76.0,76.0,76.0,76.0,76.0,78.0,77.0,77.0,77.0,78.0,77.0,76.0,76.0,76.0,77.0,79.0,60.0,71.0,75.0,67.0,77.0,64.0,56.0,68.0,79.0,68.0,69.0,68.0,79.0,63.0,76.0,69.0,86.0,70.0,66.0,79.0,75.0,68.0,70.0,62.0,66.0,74.0,75.0,74.0
R. Funes Mori,27,77,49000,Right,2.0,4.0,4.0,78.0,78.0,78.0,76.0,77.0,77.0,77.0,76.0,76.0,76.0,76.0,76.0,72.0,72.0,72.0,76.0,64.0,62.0,62.0,62.0,64.0,62.0,59.0,59.0,59.0,62.0,65.0,80.0,77.0,70.0,72.0,75.0,75.0,58.0,65.0,74.0,78.0,75.0,79.0,78.0,72.0,74.0,78.0,84.0,76.0,68.0,80.0,49.0,80.0,72.0,70.0,76.0,25.0,45.0,44.0
P. Schick,22,77,53000,Left,2.0,2.0,4.0,77.0,77.0,77.0,77.0,78.0,78.0,78.0,77.0,77.0,77.0,77.0,75.0,69.0,69.0,69.0,75.0,56.0,55.0,55.0,55.0,56.0,53.0,50.0,50.0,50.0,53.0,64.0,77.0,74.0,74.0,67.0,82.0,78.0,56.0,59.0,80.0,74.0,73.0,83.0,74.0,67.0,72.0,69.0,62.0,70.0,73.0,59.0,22.0,78.0,73.0,58.0,77.0,50.0,24.0,19.0
Aleix Vidal,28,77,17000,Right,2.0,4.0,4.0,75.0,75.0,75.0,79.0,78.0,78.0,78.0,79.0,77.0,77.0,77.0,79.0,75.0,75.0,75.0,79.0,78.0,75.0,75.0,75.0,78.0,77.0,74.0,74.0,74.0,77.0,75.0,67.0,58.0,78.0,48.0,81.0,69.0,46.0,64.0,82.0,89.0,93.0,77.0,80.0,77.0,84.0,82.0,70.0,68.0,59.0,80.0,73.0,66.0,70.0,51.0,71.0,73.0,69.0,73.0
A. Schöpf,24,77,27000,Right,1.0,4.0,3.0,72.0,72.0,72.0,77.0,76.0,76.0,76.0,77.0,76.0,76.0,76.0,78.0,74.0,74.0,74.0,78.0,73.0,69.0,69.0,69.0,73.0,69.0,62.0,62.0,62.0,69.0,76.0,72.0,44.0,75.0,65.0,80.0,69.0,61.0,62.0,79.0,78.0,77.0,78.0,76.0,77.0,68.0,62.0,95.0,62.0,72.0,60.0,59.0,74.0,65.0,64.0,73.0,61.0,60.0,50.0
W. Boly,27,77,58000,Right,1.0,4.0,2.0,56.0,56.0,56.0,54.0,54.0,54.0,54.0,54.0,56.0,56.0,56.0,57.0,60.0,60.0,60.0,57.0,68.0,72.0,72.0,72.0,68.0,70.0,78.0,78.0,78.0,70.0,50.0,32.0,75.0,70.0,23.0,48.0,43.0,35.0,58.0,60.0,57.0,69.0,55.0,71.0,45.0,52.0,62.0,58.0,93.0,21.0,79.0,76.0,43.0,52.0,56.0,76.0,72.0,78.0,78.0
Alberto Moreno,25,77,76000,Left,2.0,3.0,3.0,72.0,72.0,72.0,76.0,74.0,74.0,74.0,76.0,73.0,73.0,73.0,76.0,72.0,72.0,72.0,76.0,78.0,74.0,74.0,74.0,78.0,77.0,73.0,73.0,73.0,77.0,78.0,59.0,61.0,74.0,35.0,76.0,59.0,40.0,64.0,79.0,85.0,87.0,84.0,72.0,87.0,80.0,86.0,81.0,61.0,74.0,83.0,72.0,69.0,58.0,54.0,63.0,68.0,73.0,76.0
C. Villanueva,32,77,39000,Left,1.0,3.0,5.0,69.0,69.0,69.0,74.0,74.0,74.0,74.0,74.0,77.0,77.0,77.0,74.0,75.0,75.0,75.0,74.0,63.0,64.0,64.0,64.0,63.0,60.0,52.0,52.0,52.0,60.0,65.0,64.0,41.0,80.0,81.0,79.0,75.0,80.0,77.0,77.0,63.0,62.0,89.0,75.0,81.0,79.0,35.0,73.0,44.0,78.0,40.0,42.0,68.0,79.0,73.0,74.0,66.0,44.0,36.0
M. Weiser,24,77,43000,Right,2.0,4.0,4.0,73.0,73.0,73.0,80.0,78.0,78.0,78.0,80.0,79.0,79.0,79.0,80.0,78.0,78.0,78.0,80.0,79.0,77.0,77.0,77.0,79.0,78.0,74.0,74.0,74.0,78.0,78.0,63.0,65.0,79.0,59.0,85.0,69.0,52.0,68.0,83.0,85.0,77.0,85.0,78.0,78.0,58.0,67.0,79.0,64.0,61.0,69.0,75.0,74.0,79.0,58.0,80.0,71.0,74.0,74.0
G. Escalante,25,77,21000,Right,1.0,3.0,3.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,70.0,71.0,73.0,73.0,73.0,71.0,75.0,77.0,77.0,77.0,75.0,75.0,76.0,76.0,76.0,75.0,62.0,56.0,58.0,74.0,59.0,67.0,63.0,52.0,73.0,72.0,71.0,72.0,66.0,72.0,70.0,79.0,76.0,84.0,73.0,58.0,85.0,78.0,61.0,71.0,64.0,74.0,73.0,80.0,77.0
M. Holgate,21,76,50000,Right,1.0,3.0,3.0,60.0,60.0,60.0,63.0,61.0,61.0,61.0,63.0,63.0,63.0,63.0,65.0,67.0,67.0,67.0,65.0,73.0,74.0,74.0,74.0,73.0,74.0,76.0,76.0,76.0,74.0,61.0,37.0,73.0,74.0,40.0,65.0,40.0,35.0,70.0,67.0,68.0,71.0,62.0,73.0,57.0,51.0,69.0,70.0,72.0,42.0,75.0,77.0,50.0,55.0,40.0,68.0,75.0,78.0,77.0
D. Zurutuza,31,76,26000,Right,1.0,5.0,4.0,73.0,73.0,73.0,75.0,76.0,76.0,76.0,75.0,77.0,77.0,77.0,75.0,77.0,77.0,77.0,75.0,73.0,75.0,75.0,75.0,73.0,72.0,72.0,72.0,72.0,72.0,69.0,74.0,65.0,78.0,55.0,78.0,69.0,59.0,73.0,77.0,63.0,59.0,71.0,81.0,55.0,65.0,44.0,61.0,72.0,75.0,72.0,78.0,72.0,77.0,61.0,71.0,65.0,73.0,67.0
Juanmi,25,76,27000,Right,1.0,3.0,3.0,77.0,77.0,77.0,78.0,79.0,79.0,79.0,78.0,77.0,77.0,77.0,76.0,69.0,69.0,69.0,76.0,57.0,53.0,53.0,53.0,57.0,54.0,46.0,46.0,46.0,54.0,64.0,78.0,74.0,75.0,73.0,78.0,60.0,57.0,53.0,79.0,77.0,77.0,78.0,81.0,78.0,70.0,75.0,70.0,46.0,72.0,57.0,23.0,82.0,69.0,63.0,69.0,25.0,28.0,25.0
K. Gibbs,28,76,32000,Left,2.0,2.0,3.0,68.0,68.0,68.0,72.0,70.0,70.0,70.0,72.0,71.0,71.0,71.0,73.0,72.0,72.0,72.0,73.0,77.0,75.0,75.0,75.0,77.0,77.0,75.0,75.0,75.0,77.0,72.0,48.0,68.0,73.0,47.0,71.0,66.0,52.0,65.0,75.0,78.0,80.0,76.0,77.0,74.0,67.0,71.0,80.0,67.0,59.0,72.0,75.0,68.0,65.0,63.0,73.0,73.0,77.0,76.0
F. Fernández,29,76,42000,Right,2.0,2.0,2.0,49.0,49.0,49.0,47.0,49.0,49.0,49.0,47.0,52.0,52.0,52.0,51.0,59.0,59.0,59.0,51.0,64.0,72.0,72.0,72.0,64.0,67.0,77.0,77.0,77.0,67.0,23.0,26.0,77.0,68.0,21.0,39.0,49.0,40.0,58.0,65.0,47.0,50.0,48.0,71.0,48.0,27.0,76.0,65.0,78.0,29.0,79.0,76.0,36.0,44.0,42.0,71.0,76.0,78.0,77.0
N. Radoja,25,76,22000,Right,1.0,3.0,3.0,69.0,69.0,69.0,69.0,72.0,72.0,72.0,69.0,74.0,74.0,74.0,69.0,77.0,77.0,77.0,69.0,68.0,76.0,76.0,76.0,68.0,68.0,72.0,72.0,72.0,68.0,44.0,72.0,51.0,77.0,32.0,70.0,37.0,36.0,78.0,73.0,52.0,38.0,57.0,74.0,46.0,63.0,62.0,64.0,73.0,71.0,74.0,77.0,79.0,80.0,42.0,68.0,60.0,80.0,78.0
N. Blandi,28,76,23000,Right,1.0,3.0,3.0,77.0,77.0,77.0,71.0,73.0,73.0,73.0,71.0,70.0,70.0,70.0,69.0,66.0,66.0,66.0,69.0,56.0,56.0,56.0,56.0,56.0,54.0,52.0,52.0,52.0,54.0,55.0,80.0,80.0,68.0,77.0,65.0,55.0,54.0,60.0,78.0,64.0,61.0,76.0,78.0,57.0,76.0,84.0,74.0,68.0,72.0,49.0,43.0,83.0,45.0,74.0,79.0,33.0,30.0,27.0
David Juncà,24,76,18000,Left,1.0,3.0,3.0,62.0,62.0,62.0,66.0,63.0,63.0,63.0,66.0,64.0,64.0,64.0,69.0,67.0,67.0,67.0,69.0,76.0,73.0,73.0,73.0,76.0,76.0,74.0,74.0,74.0,76.0,78.0,35.0,70.0,72.0,43.0,64.0,69.0,58.0,61.0,77.0,79.0,77.0,77.0,67.0,79.0,61.0,75.0,86.0,76.0,46.0,75.0,74.0,55.0,48.0,55.0,67.0,65.0,74.0,78.0
Wu Lei,26,76,19000,Right,1.0,4.0,3.0,77.0,77.0,77.0,78.0,78.0,78.0,78.0,78.0,77.0,77.0,77.0,77.0,70.0,70.0,70.0,77.0,60.0,56.0,56.0,56.0,60.0,57.0,50.0,50.0,50.0,57.0,68.0,78.0,69.0,74.0,72.0,76.0,67.0,69.0,65.0,75.0,88.0,86.0,79.0,78.0,83.0,76.0,89.0,71.0,54.0,67.0,65.0,23.0,78.0,70.0,53.0,65.0,34.0,37.0,31.0
Gabriel Boschilia,22,76,48000,Left,1.0,3.0,3.0,72.0,72.0,72.0,76.0,75.0,75.0,75.0,76.0,76.0,76.0,76.0,75.0,71.0,71.0,71.0,75.0,62.0,59.0,59.0,59.0,62.0,60.0,52.0,52.0,52.0,60.0,69.0,73.0,55.0,75.0,62.0,80.0,78.0,84.0,69.0,79.0,76.0,73.0,79.0,65.0,81.0,76.0,59.0,64.0,43.0,81.0,47.0,27.0,68.0,73.0,59.0,65.0,46.0,48.0,56.0
Iuri Medeiros,23,76,12000,Left,2.0,3.0,4.0,71.0,71.0,71.0,78.0,76.0,76.0,76.0,78.0,77.0,77.0,77.0,76.0,71.0,71.0,71.0,76.0,58.0,56.0,56.0,56.0,58.0,53.0,45.0,45.0,45.0,53.0,78.0,72.0,45.0,76.0,73.0,81.0,88.0,82.0,72.0,79.0,79.0,68.0,88.0,70.0,92.0,78.0,61.0,53.0,41.0,78.0,67.0,30.0,69.0,76.0,79.0,79.0,36.0,31.0,26.0
M. Phillips,27,76,34000,Right,1.0,4.0,4.0,73.0,73.0,73.0,76.0,75.0,75.0,75.0,76.0,74.0,74.0,74.0,76.0,68.0,68.0,68.0,76.0,62.0,58.0,58.0,58.0,62.0,59.0,54.0,54.0,54.0,59.0,80.0,68.0,54.0,67.0,57.0,79.0,78.0,48.0,65.0,74.0,86.0,86.0,78.0,66.0,71.0,77.0,54.0,68.0,78.0,72.0,54.0,32.0,71.0,72.0,61.0,67.0,49.0,45.0,34.0
Mario Suárez,31,76,16000,Right,2.0,4.0,3.0,70.0,70.0,70.0,69.0,71.0,71.0,71.0,69.0,72.0,72.0,72.0,71.0,77.0,77.0,77.0,71.0,71.0,75.0,75.0,75.0,71.0,70.0,72.0,72.0,72.0,70.0,64.0,62.0,68.0,79.0,43.0,72.0,66.0,70.0,78.0,79.0,42.0,58.0,54.0,76.0,48.0,80.0,58.0,72.0,80.0,69.0,73.0,78.0,59.0,75.0,59.0,74.0,47.0,75.0,69.0
W. Bony,29,76,32000,Right,2.0,4.0,3.0,77.0,77.0,77.0,68.0,73.0,73.0,73.0,68.0,70.0,70.0,70.0,65.0,64.0,64.0,64.0,65.0,49.0,54.0,54.0,54.0,49.0,48.0,56.0,56.0,56.0,48.0,45.0,77.0,81.0,68.0,76.0,70.0,66.0,58.0,45.0,76.0,51.0,50.0,42.0,73.0,66.0,83.0,74.0,33.0,91.0,72.0,75.0,38.0,80.0,65.0,77.0,77.0,24.0,42.0,28.0
S. Doumbia,30,76,31000,Right,3.0,4.0,3.0,77.0,77.0,77.0,74.0,77.0,77.0,77.0,74.0,75.0,75.0,75.0,73.0,68.0,68.0,68.0,73.0,56.0,56.0,56.0,56.0,56.0,55.0,54.0,54.0,54.0,55.0,46.0,73.0,76.0,70.0,75.0,74.0,67.0,69.0,63.0,73.0,87.0,89.0,70.0,71.0,70.0,75.0,82.0,51.0,73.0,68.0,60.0,29.0,74.0,70.0,80.0,78.0,32.0,39.0,34.0
D. Reyes,25,76,48000,Right,3.0,3.0,2.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,66.0,66.0,66.0,66.0,69.0,69.0,69.0,66.0,73.0,76.0,76.0,76.0,73.0,75.0,78.0,78.0,78.0,75.0,49.0,45.0,78.0,77.0,37.0,67.0,45.0,36.0,68.0,74.0,63.0,65.0,68.0,73.0,55.0,49.0,70.0,68.0,69.0,47.0,64.0,79.0,44.0,52.0,50.0,67.0,78.0,76.0,79.0
Bernat,25,76,54000,Left,2.0,3.0,4.0,70.0,70.0,70.0,78.0,76.0,76.0,76.0,78.0,77.0,77.0,77.0,78.0,76.0,76.0,76.0,78.0,78.0,75.0,75.0,75.0,78.0,77.0,71.0,71.0,71.0,77.0,79.0,57.0,53.0,79.0,59.0,84.0,76.0,51.0,64.0,83.0,79.0,78.0,86.0,77.0,88.0,62.0,73.0,77.0,55.0,62.0,68.0,73.0,73.0,70.0,53.0,69.0,69.0,75.0,74.0
V. Behrami,33,76,24000,Right,2.0,3.0,3.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,71.0,73.0,73.0,73.0,71.0,74.0,76.0,76.0,76.0,74.0,74.0,76.0,76.0,76.0,74.0,68.0,54.0,66.0,74.0,69.0,70.0,70.0,68.0,72.0,74.0,67.0,67.0,70.0,72.0,69.0,76.0,70.0,73.0,74.0,70.0,90.0,74.0,66.0,70.0,67.0,76.0,72.0,78.0,76.0
S. Langkamp,30,76,24000,Right,2.0,3.0,2.0,48.0,48.0,48.0,44.0,45.0,45.0,45.0,44.0,47.0,47.0,47.0,47.0,53.0,53.0,53.0,47.0,62.0,68.0,68.0,68.0,62.0,66.0,76.0,76.0,76.0,66.0,32.0,22.0,82.0,64.0,22.0,35.0,23.0,22.0,57.0,47.0,51.0,55.0,51.0,74.0,46.0,48.0,65.0,53.0,83.0,24.0,73.0,68.0,25.0,40.0,38.0,67.0,77.0,81.0,78.0
J. Sosa,33,76,30000,Right,2.0,4.0,4.0,72.0,72.0,72.0,77.0,76.0,76.0,76.0,77.0,78.0,78.0,78.0,77.0,77.0,77.0,77.0,77.0,72.0,71.0,71.0,71.0,72.0,69.0,65.0,65.0,65.0,69.0,78.0,60.0,50.0,78.0,77.0,82.0,86.0,85.0,76.0,82.0,67.0,72.0,74.0,75.0,76.0,79.0,47.0,70.0,65.0,74.0,69.0,60.0,74.0,78.0,75.0,78.0,65.0,60.0,60.0
A. Touré,24,76,20000,Right,1.0,3.0,3.0,60.0,60.0,60.0,59.0,62.0,62.0,62.0,59.0,63.0,63.0,63.0,62.0,70.0,70.0,70.0,62.0,70.0,76.0,76.0,76.0,70.0,70.0,74.0,74.0,74.0,70.0,48.0,38.0,51.0,72.0,42.0,60.0,49.0,49.0,73.0,75.0,56.0,42.0,38.0,71.0,38.0,77.0,30.0,75.0,89.0,77.0,73.0,77.0,46.0,56.0,39.0,61.0,77.0,79.0,74.0
Jesé,25,76,59000,Right,2.0,4.0,4.0,72.0,72.0,72.0,78.0,76.0,76.0,76.0,78.0,77.0,77.0,77.0,77.0,70.0,70.0,70.0,77.0,55.0,52.0,52.0,52.0,55.0,50.0,40.0,40.0,40.0,50.0,72.0,71.0,42.0,76.0,55.0,81.0,78.0,66.0,69.0,80.0,85.0,79.0,85.0,67.0,74.0,73.0,71.0,61.0,60.0,72.0,29.0,33.0,75.0,70.0,68.0,74.0,17.0,23.0,12.0
D. Ings,25,76,85000,Right,1.0,3.0,3.0,76.0,76.0,76.0,75.0,76.0,76.0,76.0,75.0,75.0,75.0,75.0,74.0,68.0,68.0,68.0,74.0,57.0,54.0,54.0,54.0,57.0,54.0,49.0,49.0,49.0,54.0,62.0,76.0,71.0,69.0,66.0,77.0,57.0,36.0,61.0,76.0,79.0,76.0,74.0,74.0,77.0,74.0,79.0,70.0,70.0,67.0,60.0,39.0,79.0,68.0,68.0,70.0,22.0,24.0,27.0
F. Acheampong,24,76,16000,Left,1.0,3.0,4.0,77.0,77.0,77.0,78.0,77.0,77.0,77.0,78.0,76.0,76.0,76.0,77.0,71.0,71.0,71.0,77.0,68.0,64.0,64.0,64.0,68.0,67.0,61.0,61.0,61.0,67.0,62.0,78.0,55.0,69.0,67.0,80.0,66.0,50.0,61.0,74.0,92.0,94.0,93.0,76.0,91.0,79.0,90.0,90.0,71.0,64.0,66.0,45.0,76.0,65.0,63.0,67.0,42.0,62.0,52.0
R. Knoche,26,76,36000,Right,2.0,4.0,2.0,55.0,55.0,55.0,49.0,51.0,51.0,51.0,49.0,52.0,52.0,52.0,51.0,60.0,60.0,60.0,51.0,64.0,71.0,71.0,71.0,64.0,67.0,76.0,76.0,76.0,67.0,30.0,38.0,79.0,66.0,28.0,42.0,33.0,39.0,69.0,57.0,50.0,46.0,52.0,74.0,49.0,58.0,67.0,61.0,78.0,35.0,68.0,79.0,37.0,39.0,37.0,71.0,76.0,79.0,75.0
J. Denayer,23,76,41000,Right,1.0,3.0,2.0,59.0,59.0,59.0,62.0,60.0,60.0,60.0,62.0,62.0,62.0,62.0,64.0,65.0,65.0,65.0,64.0,72.0,73.0,73.0,73.0,72.0,73.0,76.0,76.0,76.0,73.0,58.0,42.0,73.0,72.0,35.0,67.0,35.0,29.0,66.0,69.0,69.0,71.0,66.0,73.0,62.0,51.0,76.0,69.0,79.0,36.0,71.0,76.0,36.0,51.0,39.0,76.0,74.0,77.0,75.0
S. Rode,27,76,40000,Right,2.0,3.0,3.0,69.0,69.0,69.0,70.0,71.0,71.0,71.0,70.0,72.0,72.0,72.0,71.0,73.0,73.0,73.0,71.0,74.0,77.0,77.0,77.0,74.0,75.0,77.0,77.0,77.0,75.0,66.0,55.0,66.0,75.0,55.0,71.0,51.0,52.0,71.0,72.0,69.0,64.0,70.0,74.0,74.0,75.0,76.0,68.0,74.0,65.0,83.0,79.0,69.0,71.0,51.0,74.0,78.0,77.0,77.0
Wendel,20,76,10000,Right,1.0,3.0,3.0,74.0,74.0,74.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,76.0,77.0,77.0,77.0,76.0,75.0,75.0,75.0,75.0,75.0,74.0,72.0,72.0,72.0,74.0,66.0,64.0,57.0,77.0,68.0,79.0,70.0,64.0,73.0,78.0,76.0,80.0,78.0,75.0,69.0,85.0,62.0,77.0,68.0,83.0,68.0,74.0,69.0,74.0,66.0,80.0,72.0,75.0,66.0
A. Nagy,23,76,24000,Right,1.0,5.0,3.0,66.0,66.0,66.0,74.0,72.0,72.0,72.0,74.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,76.0,76.0,76.0,76.0,76.0,76.0,75.0,70.0,70.0,70.0,75.0,72.0,48.0,54.0,80.0,68.0,80.0,74.0,62.0,78.0,80.0,73.0,73.0,82.0,74.0,79.0,58.0,54.0,78.0,54.0,58.0,65.0,75.0,64.0,78.0,58.0,76.0,75.0,73.0,67.0
Alfa Semedo,20,76,8000,Right,1.0,4.0,3.0,69.0,69.0,69.0,67.0,70.0,70.0,70.0,67.0,70.0,70.0,70.0,69.0,74.0,74.0,74.0,69.0,73.0,77.0,77.0,77.0,73.0,73.0,76.0,76.0,76.0,73.0,49.0,48.0,72.0,74.0,55.0,69.0,55.0,44.0,75.0,73.0,68.0,69.0,54.0,75.0,50.0,79.0,62.0,89.0,85.0,70.0,81.0,74.0,64.0,67.0,47.0,69.0,73.0,78.0,66.0
A. Barnes,28,76,55000,Right,1.0,4.0,3.0,77.0,77.0,77.0,73.0,75.0,75.0,75.0,73.0,74.0,74.0,74.0,73.0,71.0,71.0,71.0,73.0,61.0,63.0,63.0,63.0,61.0,59.0,60.0,60.0,60.0,59.0,66.0,77.0,78.0,70.0,72.0,74.0,60.0,56.0,63.0,77.0,64.0,60.0,68.0,76.0,71.0,81.0,82.0,77.0,78.0,67.0,87.0,41.0,79.0,70.0,77.0,78.0,43.0,46.0,39.0
Alan Kardec,29,76,13000,Right,1.0,3.0,3.0,77.0,77.0,77.0,73.0,74.0,74.0,74.0,73.0,71.0,71.0,71.0,72.0,66.0,66.0,66.0,72.0,56.0,53.0,53.0,53.0,56.0,54.0,50.0,50.0,50.0,54.0,68.0,76.0,82.0,65.0,67.0,70.0,56.0,61.0,57.0,73.0,73.0,70.0,68.0,75.0,62.0,78.0,77.0,78.0,77.0,72.0,53.0,33.0,78.0,59.0,69.0,67.0,26.0,29.0,24.0
Marcelo,28,76,13000,Right,1.0,2.0,2.0,48.0,48.0,48.0,48.0,47.0,47.0,47.0,48.0,50.0,50.0,50.0,52.0,57.0,57.0,57.0,52.0,67.0,71.0,71.0,71.0,67.0,70.0,77.0,77.0,77.0,70.0,37.0,24.0,77.0,63.0,28.0,44.0,27.0,27.0,64.0,55.0,66.0,64.0,64.0,71.0,68.0,35.0,90.0,66.0,71.0,22.0,73.0,79.0,20.0,43.0,35.0,70.0,82.0,79.0,74.0
E. Boateng,22,76,22000,Right,1.0,4.0,3.0,77.0,77.0,77.0,75.0,75.0,75.0,75.0,75.0,73.0,73.0,73.0,73.0,65.0,65.0,65.0,73.0,60.0,56.0,56.0,56.0,60.0,58.0,54.0,54.0,54.0,58.0,57.0,75.0,71.0,69.0,73.0,78.0,55.0,41.0,46.0,76.0,89.0,88.0,89.0,72.0,79.0,78.0,92.0,79.0,72.0,64.0,64.0,37.0,73.0,56.0,64.0,65.0,36.0,35.0,33.0
Dalbert,24,76,41000,Left,1.0,3.0,3.0,70.0,70.0,70.0,75.0,73.0,73.0,73.0,75.0,73.0,73.0,73.0,76.0,72.0,72.0,72.0,76.0,77.0,73.0,73.0,73.0,77.0,76.0,72.0,72.0,72.0,76.0,76.0,52.0,60.0,72.0,52.0,78.0,68.0,47.0,68.0,75.0,91.0,91.0,83.0,68.0,67.0,72.0,59.0,80.0,67.0,60.0,74.0,68.0,72.0,66.0,42.0,69.0,72.0,74.0,74.0
A. Halilović,22,76,61000,Left,1.0,3.0,4.0,65.0,65.0,65.0,77.0,75.0,75.0,75.0,77.0,78.0,78.0,78.0,77.0,74.0,74.0,74.0,77.0,65.0,62.0,62.0,62.0,65.0,60.0,48.0,48.0,48.0,60.0,76.0,58.0,24.0,80.0,64.0,79.0,80.0,69.0,70.0,81.0,78.0,74.0,78.0,74.0,88.0,64.0,54.0,68.0,32.0,72.0,40.0,54.0,70.0,80.0,75.0,72.0,60.0,36.0,28.0
I. Popov,30,76,1000,Right,2.0,4.0,4.0,76.0,76.0,76.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,74.0,74.0,74.0,77.0,65.0,65.0,65.0,65.0,65.0,63.0,59.0,59.0,59.0,63.0,71.0,74.0,66.0,76.0,71.0,74.0,67.0,76.0,72.0,79.0,80.0,73.0,75.0,74.0,60.0,79.0,62.0,73.0,68.0,72.0,73.0,49.0,76.0,75.0,71.0,72.0,42.0,50.0,44.0
T. Cleverley,28,76,51000,Right,2.0,3.0,3.0,70.0,70.0,70.0,74.0,74.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,76.0,76.0,76.0,75.0,71.0,71.0,71.0,71.0,71.0,68.0,64.0,64.0,64.0,68.0,74.0,64.0,48.0,77.0,68.0,74.0,59.0,62.0,76.0,74.0,63.0,69.0,69.0,77.0,75.0,74.0,61.0,77.0,53.0,75.0,71.0,65.0,74.0,77.0,72.0,67.0,56.0,71.0,52.0
M. Livaja,24,76,1000,Right,1.0,5.0,3.0,77.0,77.0,77.0,73.0,77.0,77.0,77.0,73.0,74.0,74.0,74.0,72.0,66.0,66.0,66.0,72.0,53.0,54.0,54.0,54.0,53.0,50.0,51.0,51.0,51.0,50.0,46.0,76.0,73.0,74.0,67.0,77.0,59.0,46.0,39.0,79.0,72.0,76.0,62.0,75.0,61.0,80.0,78.0,68.0,77.0,62.0,88.0,25.0,74.0,72.0,62.0,72.0,39.0,22.0,16.0
M. Uribe,27,76,54000,Right,1.0,4.0,3.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,75.0,75.0,75.0,75.0,75.0,74.0,72.0,72.0,72.0,74.0,68.0,73.0,67.0,77.0,50.0,73.0,63.0,63.0,76.0,77.0,76.0,74.0,70.0,70.0,72.0,75.0,75.0,92.0,75.0,71.0,72.0,70.0,71.0,71.0,68.0,74.0,64.0,70.0,69.0
P. Bargfrede,29,76,25000,Right,2.0,3.0,3.0,65.0,65.0,65.0,66.0,67.0,67.0,67.0,66.0,69.0,69.0,69.0,67.0,73.0,73.0,73.0,67.0,73.0,77.0,77.0,77.0,73.0,73.0,76.0,76.0,76.0,73.0,60.0,47.0,59.0,74.0,60.0,65.0,57.0,59.0,74.0,73.0,61.0,54.0,74.0,76.0,76.0,77.0,61.0,70.0,68.0,66.0,86.0,77.0,62.0,68.0,49.0,75.0,81.0,78.0,74.0
J. Jankto,22,76,23000,Left,2.0,3.0,4.0,75.0,75.0,75.0,77.0,77.0,77.0,77.0,77.0,78.0,78.0,78.0,77.0,77.0,77.0,77.0,77.0,74.0,73.0,73.0,73.0,74.0,73.0,70.0,70.0,70.0,73.0,70.0,66.0,68.0,78.0,60.0,76.0,71.0,50.0,75.0,78.0,79.0,79.0,76.0,76.0,74.0,79.0,62.0,73.0,64.0,74.0,68.0,64.0,78.0,75.0,50.0,75.0,68.0,70.0,66.0
