Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
5.3,96.7,Yes,8.1,1,63.12
6.7,79.5,Yes,5.4,4,57.02
3.5,50.3,No,7.7,8,35.34
4.8,68.0,No,8.2,8,40.19
7.6,78.3,Yes,5.2,6,58.66
4.7,41.7,Yes,9.0,5,32.97
3.9,40.9,No,4.1,2,25.42
5.0,47.6,No,5.1,5,35.25
7.6,54.8,No,7.9,5,45.14
3.7,65.3,No,5.0,2,35.48
2.4,68.8,No,7.5,8,43.63
6.7,48.1,No,8.3,5,36.74
7.6,79.7,Yes,8.8,5,64.48
1.8,75.2,No,6.4,1,39.67
2.9,57.4,Yes,8.9,1,32.32
2.1,40.8,No,6.1,1,14.97
3.8,44.6,No,5.1,8,34.12
4.6,63.1,No,6.6,2,40.84
7.0,49.1,No,7.2,8,49.64
6.2,62.2,Yes,6.3,6,48.78
6.0,77.1,Yes,6.8,5,56.83
3.8,72.3,No,6.1,6,39.29
7.7,53.6,No,6.6,4,43.6
4.8,60.3,Yes,8.8,3,39.24
8.8,76.2,No,6.5,4,61.92
6.1,90.8,Yes,5.3,9,66.8
2.0,84.4,No,7.8,8,54.15
6.4,72.7,Yes,5.7,8,63.32
3.6,61.4,No,8.1,1,31.67
6.5,61.5,Yes,4.3,5,49.15
1.6,91.9,No,5.7,6,53.82
2.4,42.3,Yes,4.5,9,34.79
7.8,98.3,Yes,4.4,6,74.48
2.8,79.2,No,7.3,1,45.68
7.7,80.2,No,5.9,1,58.93
3.2,42.2,Yes,8.4,7,32.56
6.1,75.7,Yes,6.6,3,58.14
6.6,68.6,No,5.5,7,47.06
5.1,46.2,Yes,7.6,5,32.47
3.4,56.4,No,7.1,1,38.03
2.7,92.5,No,8.0,8,49.03
1.3,72.4,Yes,7.2,9,42.88
3.4,64.4,No,4.8,6,39.55
6.2,44.3,No,7.4,2,30.97
8.5,82.1,Yes,6.0,9,72.95
8.0,81.5,No,6.3,2,59.84
7.1,76.2,No,8.6,6,55.25
7.3,70.1,No,5.8,4,48.31
6.3,65.6,No,7.1,6,48.91
3.1,75.0,Yes,5.8,4,49.4
8.3,53.8,Yes,4.5,3,44.15
6.4,95.5,Yes,6.3,8,68.1
5.5,74.7,Yes,7.0,5,49.07
1.9,58.4,Yes,6.0,1,30.95
4.6,66.5,No,6.0,8,46.42
4.7,87.5,Yes,8.1,3,53.47
7.9,49.5,Yes,4.1,4,44.98
5.4,57.3,No,5.5,9,49.01
4.0,80.1,Yes,8.1,3,50.48
8.8,58.6,Yes,8.6,5,52.35
1.9,86.8,Yes,6.1,8,47.67
4.4,47.7,Yes,8.4,6,37.2
1.3,85.0,No,5.0,3,45.59
6.9,44.0,No,5.1,8,35.86
8.3,40.7,Yes,8.2,5,36.13
3.2,93.0,Yes,8.5,6,65.99
7.9,74.3,Yes,5.1,3,56.72
3.3,60.8,No,4.3,8,34.25
8.3,53.7,No,4.5,4,46.35
7.0,76.4,No,5.3,9,58.66
7.4,70.0,Yes,7.8,5,54.48
1.1,98.5,Yes,6.5,1,55.8
8.7,98.0,No,6.3,9,64.82
6.8,77.5,No,6.9,8,50.45
3.4,66.1,No,8.5,5,46.17
7.6,69.0,Yes,4.5,3,50.64
3.3,80.3,No,7.5,9,49.77
8.0,46.0,No,8.6,7,36.25
1.9,59.4,No,5.1,8,34.58
6.6,44.4,Yes,8.2,3,36.68
5.3,44.3,No,7.5,6,38.47
1.8,51.6,Yes,4.1,4,28.18
2.9,68.6,No,5.2,3,36.77
1.1,86.3,Yes,7.0,4,48.66
4.8,68.6,No,6.5,2,46.7
3.4,59.8,No,6.6,5,39.62
5.8,44.9,Yes,5.2,8,38.83
3.4,72.5,No,7.4,5,44.97
3.4,56.0,Yes,5.3,2,30.01
6.9,76.3,No,5.9,7,51.98
1.4,97.7,Yes,5.8,8,52.53
8.2,46.6,Yes,7.4,4,42.72
7.8,52.5,No,4.5,3,42.23
6.3,67.9,Yes,5.0,8,55.89
5.7,97.1,No,5.0,2,63.5
8.1,85.5,No,4.5,7,68.29
2.5,93.0,No,5.0,8,54.9
1.6,59.7,No,7.0,5,34.79
2.9,98.5,Yes,7.7,7,57.57
7.4,46.1,No,7.3,9,40.91
1.3,43.1,Yes,6.4,8,17.19
5.7,90.5,No,4.3,5,59.28
9.0,94.7,No,8.8,4,75.85
7.8,45.3,No,4.8,3,36.44
5.2,46.7,Yes,7.3,6,38.07
1.5,42.0,No,8.6,4,21.67
7.7,46.2,No,7.5,4,35.74
5.8,52.4,No,5.1,7,37.78
1.9,97.2,Yes,5.6,5,60.59
1.8,79.4,No,4.2,1,42.35
8.3,85.9,Yes,7.1,5,63.11
6.4,85.8,No,7.1,6,54.44
7.6,71.6,No,7.6,1,51.71
8.0,87.1,Yes,4.1,3,60.51
5.6,75.2,Yes,8.1,6,52.85
5.1,58.6,No,7.7,7,35.84
4.4,73.1,Yes,4.7,7,53.12
3.5,71.5,Yes,5.7,7,45.73
4.5,88.6,No,7.2,9,59.64
7.2,97.9,No,6.5,2,62.59
5.8,64.3,No,4.6,3,41.21
8.1,85.0,Yes,4.4,7,65.74
4.5,45.9,Yes,7.9,6,30.91
5.9,85.8,No,4.8,1,52.99
6.1,61.9,No,4.9,7,50.36
5.7,42.3,No,8.2,2,22.59
6.6,61.4,No,7.1,4,45.17
2.9,76.0,No,7.0,7,43.13
5.1,47.0,Yes,6.4,4,38.57
1.8,94.5,No,6.8,6,53.11
4.1,44.6,No,7.0,9,27.75
4.9,94.9,No,8.8,5,60.85
6.2,81.7,No,5.1,3,55.42
8.6,59.5,No,5.1,6,60.11
5.8,63.1,No,4.3,4,33.82
6.9,83.7,Yes,7.3,9,59.42
5.1,75.5,No,6.7,2,52.44
6.1,79.6,No,4.6,5,47.74
1.6,63.0,No,5.8,9,36.26
3.0,68.8,No,4.9,7,39.48
3.9,98.4,No,5.7,5,57.48
4.8,52.6,No,8.8,8,37.74
1.4,64.7,No,7.4,2,30.44
2.1,57.2,No,4.0,4,33.67
3.2,85.1,No,5.3,6,56.34
8.8,85.1,No,4.1,7,66.9
3.7,57.3,No,7.6,8,36.96
4.9,44.8,No,6.3,4,30.79
2.6,40.7,Yes,9.0,9,31.33
5.9,65.2,Yes,7.7,7,53.02
3.2,64.2,No,6.6,2,37.36
2.7,98.3,No,8.0,9,67.15
5.1,67.7,Yes,7.5,7,46.11
1.0,55.1,Yes,5.2,5,32.83
1.1,92.6,Yes,6.7,3,52.58
2.8,69.0,No,6.8,9,40.74
1.3,75.4,No,6.3,7,42.48
1.9,45.6,Yes,4.9,3,24.11
3.7,62.6,No,5.1,5,37.31
7.4,95.7,Yes,5.4,3,66.43
5.6,74.8,No,4.1,3,41.73
5.1,60.3,No,8.6,7,40.23
3.3,76.9,No,7.4,9,48.74
8.5,93.7,Yes,7.4,5,68.55
4.2,56.2,Yes,6.9,4,33.16
1.7,69.8,No,7.4,4,41.55
5.9,96.6,Yes,8.9,3,64.83
1.9,50.2,No,5.9,8,37.32
3.8,82.5,No,7.6,1,48.6
5.1,76.3,No,5.8,3,52.28
8.0,80.1,No,8.3,2,57.12
4.9,60.7,Yes,8.3,7,41.57
6.6,58.5,No,8.5,6,45.91
8.9,80.4,No,4.0,1,63.17
2.1,52.7,Yes,5.5,3,27.5
3.2,64.8,No,4.7,4,38.71
4.2,51.1,No,6.3,7,35.19
4.4,40.5,No,6.5,3,24.83
4.3,97.2,Yes,5.3,4,60.68
8.3,65.5,No,7.6,7,49.59
6.7,97.2,No,5.3,4,65.39
5.9,48.3,Yes,8.3,9,43.25
3.5,74.7,No,4.9,6,46.42
7.6,51.9,No,5.8,2,39.76
8.6,86.6,No,7.1,1,65.11
7.6,86.2,No,7.0,8,65.66
1.0,46.6,No,4.4,3,19.73
6.1,93.8,Yes,8.2,7,69.85
1.4,51.5,No,7.0,4,25.96
3.1,76.2,No,8.3,3,43.14
1.5,98.2,Yes,8.3,9,61.49
5.8,92.1,No,6.7,6,62.16
6.5,96.4,No,8.6,6,66.19
1.9,60.2,No,8.2,6,34.64
4.1,46.2,No,8.8,3,29.5
4.6,51.1,No,8.3,6,30.98
4.0,69.5,Yes,8.1,4,45.87
2.0,86.8,No,6.3,2,53.53
4.4,48.9,No,5.1,3,25.7
7.0,78.9,Yes,8.6,4,55.99
1.6,59.1,Yes,7.6,1,40.84
1.6,60.1,No,5.4,7,29.66
3.8,79.1,No,5.7,5,53.45
8.5,67.6,Yes,7.4,9,57.62
6.3,87.9,Yes,6.4,6,62.71
6.4,49.2,Yes,4.4,8,39.73
3.9,86.6,No,4.7,9,57.49
5.7,43.8,Yes,7.7,6,28.72
1.1,51.4,No,5.6,7,27.17
6.1,78.7,Yes,6.5,6,54.75
8.3,90.4,No,7.8,6,60.51
5.9,54.9,No,7.8,2,41.88
8.0,59.3,No,4.8,5,38.06
6.8,71.7,No,4.5,6,60.18
2.0,52.5,Yes,7.0,5,32.15
8.2,87.9,No,7.7,4,59.1
1.5,85.6,Yes,4.7,6,53.77
5.3,48.6,No,5.9,6,31.47
2.1,67.4,Yes,8.4,8,39.18
1.1,85.7,No,8.7,8,41.85
4.4,59.9,No,6.3,1,31.73
3.4,77.4,No,4.4,2,40.19
4.9,43.0,No,5.3,1,29.19
5.6,75.9,No,5.2,7,56.93
1.3,49.0,No,5.2,8,21.29
2.0,89.0,No,6.5,3,49.43
5.5,61.0,Yes,6.9,3,34.56
3.7,56.6,No,4.6,7,36.87
6.8,89.6,No,8.4,8,74.28
6.2,43.0,Yes,7.1,6,28.34
7.8,63.4,No,7.0,8,47.59
6.5,61.8,No,8.9,2,46.53
4.4,56.8,No,7.1,7,42.02
6.4,93.8,No,8.6,5,60.93
3.2,84.3,No,5.4,6,56.46
3.5,43.8,Yes,5.2,7,25.81
7.3,82.2,Yes,6.6,9,70.61
4.6,71.1,No,6.5,7,49.19
7.4,93.2,No,5.1,1,67.3
7.6,58.5,No,7.5,5,47.51
7.9,73.9,No,4.1,4,56.46
8.3,69.5,Yes,7.5,8,61.28
4.4,68.9,No,6.3,7,50.14
3.6,66.9,Yes,7.4,4,41.57
5.7,52.1,Yes,6.4,3,33.28
4.0,84.6,No,8.9,6,53.71
5.8,66.6,Yes,5.7,8,47.0
6.6,96.6,No,8.9,3,63.1
6.5,55.4,Yes,4.3,5,48.35
4.0,80.3,Yes,7.4,1,50.92
2.3,95.5,No,6.3,8,59.35
4.4,79.1,No,8.1,7,56.73
2.1,91.4,Yes,7.9,8,58.74
8.1,88.8,No,8.0,2,70.86
3.8,61.2,No,4.5,7,30.18
2.2,75.4,No,8.1,4,38.29
1.2,49.2,Yes,5.1,2,19.87
6.2,71.6,No,4.1,9,46.72
6.1,53.6,No,5.1,5,38.88
3.7,83.9,Yes,6.4,7,54.94
1.6,71.2,Yes,7.7,4,47.31
4.3,64.3,No,5.1,4,43.1
3.5,55.9,Yes,4.6,3,30.94
6.4,98.9,Yes,7.2,1,67.57
5.8,44.2,Yes,8.9,2,25.51
3.9,42.6,No,7.0,9,30.9
2.7,52.8,No,7.5,1,27.69
8.9,97.3,Yes,6.8,5,70.25
4.6,97.8,No,7.9,2,59.2
6.5,78.6,No,8.9,4,52.43
2.1,91.9,Yes,6.7,7,51.52
4.9,52.6,No,6.1,5,37.92
1.2,97.4,No,8.3,1,54.72
5.0,48.4,No,8.8,3,34.64
8.7,46.0,Yes,4.6,9,43.17
4.1,46.6,No,6.9,1,24.06
1.3,73.8,No,8.0,4,37.33
1.2,86.1,No,6.7,5,45.55
4.1,61.6,No,6.0,3,33.57
2.3,97.7,Yes,7.3,3,60.34
1.2,65.6,No,5.4,1,29.48
7.0,48.9,No,5.7,6,42.11
4.7,67.5,Yes,9.0,4,39.85
3.3,80.1,Yes,7.2,8,49.34
8.2,89.1,Yes,8.4,6,72.05
1.9,67.1,No,8.0,3,39.17
8.6,75.0,No,7.3,7,55.33
3.5,55.8,No,8.2,3,34.14
8.1,78.1,Yes,5.4,9,64.33
5.8,98.2,No,7.2,8,64.9
7.6,42.9,No,7.0,3,36.38
8.9,92.3,Yes,7.1,2,62.19
3.3,73.2,Yes,4.8,3,39.3
8.7,54.9,Yes,5.4,4,48.9
4.1,96.3,No,5.4,3,57.78
4.1,68.5,No,7.0,9,46.65
3.7,59.6,No,8.9,2,34.49
5.3,50.7,Yes,8.8,8,42.31
2.2,54.4,No,5.1,7,33.23
5.4,89.1,No,5.5,1,58.23
5.3,76.3,No,4.2,6,51.06
7.1,93.9,Yes,6.0,6,66.21
7.7,53.7,No,8.2,9,44.63
4.5,47.1,No,8.6,8,30.2
3.4,40.4,Yes,5.2,7,25.32
3.1,70.0,Yes,5.3,7,41.47
2.6,98.9,No,5.1,5,63.18
1.5,81.0,No,5.8,2,36.97
3.7,58.2,No,8.0,5,40.63
3.2,91.7,Yes,7.2,1,52.07
8.7,86.1,No,7.9,6,65.65
5.5,40.9,Yes,6.9,2,30.67
3.8,88.2,No,5.3,1,44.6
5.6,57.7,No,5.1,1,33.4
2.1,48.8,No,4.0,1,17.04
4.6,53.4,Yes,7.9,4,34.73
6.0,67.6,No,8.2,5,44.27
4.9,65.1,No,7.8,5,48.72
4.2,57.0,No,4.4,1,29.98
9.0,50.2,No,7.8,6,35.88
8.0,85.0,No,4.2,3,58.84
6.0,98.4,No,4.5,4,67.26
5.6,85.9,Yes,6.2,5,64.92
6.0,57.5,No,6.4,4,39.22
2.6,54.4,Yes,8.1,4,30.06
4.2,52.8,No,7.4,1,30.81
1.3,48.1,No,4.8,2,22.3
4.8,72.5,Yes,5.1,2,41.16
5.3,75.7,No,5.4,2,46.59
2.8,81.6,No,4.6,1,43.48
8.7,80.1,No,5.4,8,63.62
8.3,57.2,No,7.6,1,43.32
6.8,59.5,No,5.2,8,42.38
5.3,80.2,No,8.2,1,51.72
8.0,60.6,Yes,6.3,3,47.53
2.0,52.5,Yes,5.6,9,32.4
7.3,62.1,No,6.1,8,45.06
2.0,56.1,No,7.5,2,30.81
7.4,45.2,Yes,6.6,4,34.05
3.2,89.0,No,4.0,8,60.88
8.0,90.3,Yes,8.6,9,66.67
8.6,53.0,No,4.3,7,48.54
2.2,43.8,Yes,8.7,1,14.91
4.7,83.6,No,4.1,8,45.93
8.8,52.5,No,7.9,1,40.33
4.9,63.2,No,6.7,9,35.93
7.9,43.8,No,6.5,8,42.97
5.7,53.3,No,4.4,4,36.14
4.0,86.8,No,5.2,4,57.96
3.3,87.5,No,7.9,4,51.38
2.6,52.2,Yes,8.5,6,33.55
7.1,59.8,No,6.6,2,41.81
4.1,47.9,No,5.8,4,25.99
5.1,44.4,No,4.3,4,27.64
4.9,98.5,No,7.4,8,61.02
5.6,78.7,No,5.4,2,51.56
7.9,72.0,No,4.3,8,54.88
8.8,85.2,No,7.3,2,62.34
4.3,89.6,Yes,6.4,9,71.96
7.6,87.6,No,4.1,9,63.82
7.1,41.0,Yes,4.6,6,36.75
5.6,51.0,Yes,7.5,5,37.87
8.6,78.6,No,4.3,7,65.76
2.6,62.2,Yes,8.3,8,41.0
1.9,98.0,No,5.6,8,56.0
7.8,79.3,No,4.4,3,65.48
4.5,96.4,No,7.8,3,56.23
7.8,51.9,Yes,6.6,5,42.94
8.1,91.0,Yes,5.5,5,71.33
1.5,59.0,No,6.0,2,24.86
8.1,98.4,Yes,4.1,5,74.41
4.6,49.3,No,7.3,1,27.86
5.1,70.5,No,5.8,7,51.93
6.0,86.8,No,7.6,7,64.63
8.4,65.5,No,7.1,1,48.64
1.2,67.6,Yes,7.3,3,31.25
4.8,98.2,No,8.0,8,63.97
6.5,65.1,Yes,7.2,9,51.81
6.8,75.6,No,6.1,3,55.73
6.5,43.2,No,5.9,6,35.74
2.1,89.7,Yes,4.6,6,54.29
3.4,78.2,Yes,7.9,6,51.29
3.9,63.8,No,7.8,5,43.48
7.4,41.0,No,5.2,6,34.25
3.2,74.9,Yes,8.3,6,48.31
2.7,40.7,No,6.9,6,23.85
8.7,40.1,No,6.4,8,37.9
1.1,76.3,No,4.1,6,43.97
9.0,51.2,No,5.9,3,46.88
6.4,51.3,Yes,7.2,7,46.63
7.6,78.5,No,4.4,6,54.72
3.4,43.2,No,6.3,9,30.42
1.1,58.5,No,9.0,4,34.04
6.9,48.8,No,7.6,1,41.39
7.7,74.2,No,6.7,6,50.18
6.9,79.0,Yes,6.7,9,61.09
2.1,82.5,No,4.2,8,47.22
7.0,55.1,No,8.8,2,47.08
7.2,45.3,Yes,8.6,3,28.56
6.3,44.6,No,7.4,8,32.63
7.1,65.1,Yes,4.5,9,58.14
7.8,95.8,No,5.0,8,68.44
5.9,52.8,No,4.9,1,29.04
1.7,55.1,No,6.6,3,33.45
4.9,46.0,No,5.0,8,27.51
1.6,75.7,No,7.5,1,42.37
4.3,80.1,No,6.7,7,45.77
4.3,77.9,No,4.1,4,41.47
1.5,90.8,Yes,7.7,7,54.29
3.8,68.7,Yes,4.9,4,38.98
1.9,47.9,No,8.1,8,29.22
7.5,57.1,No,5.8,6,52.23
8.6,79.1,No,5.7,8,61.96
1.6,76.2,No,4.1,1,43.59
8.6,71.3,No,8.9,9,61.47
5.2,80.3,Yes,7.1,9,61.48
3.4,77.6,No,6.1,6,37.89
1.6,92.0,No,4.5,9,55.77
5.0,74.6,No,7.5,6,51.99
7.4,85.9,No,5.4,6,60.48
6.7,54.7,No,8.9,4,48.8
1.4,80.0,No,8.8,3,40.44
1.6,93.2,No,7.7,3,43.93
4.2,62.8,No,8.9,2,41.48
3.4,86.0,No,4.5,4,44.3
2.9,82.8,Yes,5.4,9,52.97
3.2,43.5,Yes,5.3,7,33.79
7.4,74.3,Yes,4.4,3,55.79
8.4,47.7,No,8.9,8,43.65
4.2,97.1,Yes,4.3,9,62.86
8.2,87.9,No,8.3,1,67.52
3.6,46.5,No,7.8,1,20.87
4.8,47.2,No,5.9,9,37.99
2.8,75.1,Yes,4.1,9,56.18
6.1,60.3,Yes,4.0,7,47.4
8.8,42.1,Yes,5.0,3,37.27
5.8,72.0,No,6.5,4,47.89
3.9,62.9,No,6.3,7,38.58
6.2,46.0,No,6.9,9,35.4
2.0,87.3,No,7.9,8,52.36
8.1,94.0,No,5.9,8,73.14
5.0,84.6,Yes,4.8,1,59.01
4.6,88.5,No,8.0,6,49.77
5.7,52.8,No,5.7,6,28.19
6.0,55.6,No,5.4,5,46.02
1.6,52.3,Yes,7.8,1,25.97
6.5,85.1,No,8.7,3,58.54
2.9,95.9,Yes,8.6,4,60.03
6.7,82.3,No,4.7,7,57.88
7.6,92.0,No,6.5,5,73.66
7.4,77.7,No,4.5,2,55.54
5.4,62.9,No,8.8,3,40.4
5.2,65.1,Yes,5.1,1,39.87
2.1,44.4,No,5.0,6,23.24
7.2,41.9,Yes,8.4,8,36.29
3.2,81.0,No,8.8,4,55.04
5.0,65.9,No,7.5,2,42.05
3.3,72.6,No,4.6,4,37.09
2.1,72.9,No,6.4,4,41.31
6.0,56.4,No,8.1,5,46.9
1.4,68.1,No,6.9,3,38.82
7.0,67.8,Yes,4.7,9,50.66
3.5,62.9,No,4.9,7,34.71
1.0,88.4,No,8.3,9,56.79
5.1,66.6,No,6.6,7,39.45
1.4,75.6,No,7.5,4,41.5
3.2,92.8,No,5.9,5,52.8
6.7,91.1,No,6.7,7,69.82
1.5,92.5,Yes,8.9,6,49.91
7.7,55.9,No,5.6,9,44.12
1.0,42.1,No,7.4,3,20.63
3.0,55.4,No,4.9,8,37.21
6.9,56.4,Yes,4.6,4,48.17
3.5,93.7,No,7.9,9,62.28
1.8,78.3,Yes,8.2,1,43.51
3.9,44.8,No,7.3,5,32.73
3.2,48.0,Yes,4.8,4,22.83
7.7,49.2,No,5.2,5,36.43
3.5,77.2,Yes,8.6,6,44.66
7.3,83.4,Yes,5.4,1,47.05
8.1,90.7,No,8.1,8,72.78
4.5,95.5,Yes,5.4,3,65.27
8.3,51.9,Yes,8.7,7,49.64
4.0,58.3,Yes,8.6,7,42.06
8.7,54.2,No,4.2,9,48.52
1.7,61.2,No,7.9,7,34.95
6.5,94.0,Yes,4.8,8,74.24
5.0,73.9,No,5.1,4,53.16
4.1,83.6,Yes,6.3,4,50.26
6.1,68.9,No,6.9,8,55.09
6.6,41.7,No,5.6,4,36.97
1.0,43.8,No,6.9,4,22.41
2.3,71.7,No,4.9,3,39.77
6.7,82.4,Yes,4.1,3,58.16
6.3,52.7,Yes,6.9,4,33.96
8.7,82.6,No,6.6,2,54.33
7.1,87.8,Yes,7.4,3,65.43
8.6,64.3,Yes,7.2,2,46.69
6.6,84.0,Yes,8.5,6,56.11
3.4,63.8,No,6.3,3,28.38
1.8,80.0,No,4.0,2,38.93
7.3,85.1,Yes,7.2,9,67.24
6.2,98.5,Yes,7.4,8,72.17
1.4,60.4,No,6.6,5,34.74
3.9,64.3,Yes,7.4,9,43.36
8.7,49.8,No,5.6,5,43.18
5.0,52.0,Yes,4.7,5,39.51
4.5,80.9,No,7.3,4,52.69
4.7,94.1,No,5.2,3,55.27
2.7,63.3,Yes,6.3,9,42.06
3.9,50.6,No,6.5,4,23.09
4.0,56.8,No,6.4,7,37.14
1.4,66.8,No,7.0,5,32.98
7.1,57.1,No,4.1,7,50.47
4.3,53.8,Yes,8.9,8,35.67
7.6,83.4,Yes,7.6,8,65.4
7.8,40.5,Yes,6.1,6,35.82
2.7,71.8,Yes,5.0,5,40.08
6.3,86.8,No,4.4,2,57.62
4.8,55.7,No,7.4,8,38.04
8.0,75.6,No,5.6,5,64.1
2.7,79.5,No,5.1,8,40.05
6.4,78.6,No,5.9,6,57.93
5.9,66.3,No,7.0,8,48.28
3.4,60.4,Yes,7.4,1,34.72
2.1,89.3,No,7.2,9,55.12
6.2,84.7,No,8.3,9,65.9
6.9,59.0,Yes,5.1,3,44.64
3.5,46.1,Yes,7.2,5,33.84
6.2,44.2,No,4.5,7,34.53
4.2,45.6,No,6.7,8,27.7
6.7,74.4,Yes,6.9,7,55.91
2.6,43.0,No,5.1,3,26.36
8.1,59.9,No,6.0,7,47.57
3.3,84.4,No,8.1,1,43.63
3.9,57.4,Yes,4.7,5,39.15
1.5,85.0,Yes,6.2,9,52.2
1.9,84.0,No,8.7,2,42.1
5.1,54.5,No,6.5,3,34.6
3.1,83.0,No,7.6,9,52.18
7.7,84.1,Yes,8.1,3,61.86
1.1,63.4,No,5.0,8,36.86
4.0,52.4,Yes,5.1,6,33.25
3.7,70.8,No,7.8,7,48.21
1.2,94.4,No,7.8,5,49.48
2.0,77.7,No,4.3,7,50.62
4.3,50.2,Yes,5.6,3,38.79
4.9,80.3,Yes,6.0,5,50.0
4.2,65.2,No,8.1,6,37.86
5.2,74.9,No,6.1,9,56.62
5.8,83.3,No,8.6,4,57.07
1.1,70.4,No,9.0,8,42.13
4.7,88.0,No,7.9,8,56.54
8.7,82.6,No,7.3,6,63.54
5.2,76.3,No,6.0,8,51.06
6.4,48.9,Yes,4.3,5,38.84
3.5,89.3,No,6.9,1,45.89
7.2,95.2,Yes,5.8,4,66.74
7.2,48.1,No,5.8,6,33.89
5.2,68.8,Yes,7.4,9,48.82
8.8,55.3,No,6.3,4,45.52
2.0,84.5,No,7.8,6,50.66
1.1,82.6,No,6.0,5,46.14
7.2,48.3,No,4.8,9,44.04
7.5,91.7,Yes,6.3,6,61.58
2.0,50.7,No,8.8,3,31.27
3.1,87.0,Yes,8.0,2,48.76
1.1,67.0,Yes,5.0,3,31.65
3.3,59.4,Yes,6.0,6,38.74
7.2,49.3,Yes,8.6,8,42.57
5.1,49.9,No,4.6,8,37.49
3.8,79.1,No,5.3,5,50.19
4.0,72.5,No,5.3,1,38.29
1.0,47.2,Yes,6.9,1,20.16
3.4,46.6,Yes,6.1,7,30.39
6.2,44.3,Yes,4.4,2,35.68
8.8,83.9,Yes,7.1,4,63.01
7.8,82.0,Yes,4.5,5,58.91
1.2,43.4,Yes,7.0,8,20.67
8.2,73.1,No,6.5,9,55.48
7.3,45.0,No,6.5,1,28.15
7.2,93.3,No,4.3,9,65.22
4.7,93.5,Yes,7.2,5,67.52
4.2,81.2,No,6.2,4,52.6
3.4,94.6,No,6.1,5,61.88
1.5,87.9,Yes,7.0,9,49.23
2.8,88.9,Yes,7.0,8,48.32
3.0,73.6,Yes,4.1,5,45.0
4.9,58.1,Yes,4.6,5,46.78
7.0,52.9,No,5.2,1,35.09
4.8,59.3,Yes,7.4,9,44.62
1.5,77.1,No,6.9,3,33.78
8.7,50.2,Yes,7.8,1,42.3
8.5,55.3,No,7.7,5,46.09
7.3,67.6,Yes,8.3,3,42.61
8.9,53.7,No,5.9,6,42.58
5.4,74.7,Yes,5.7,7,48.15
8.7,94.5,Yes,8.2,4,65.08
1.6,84.1,No,5.2,4,41.87
3.9,79.3,No,6.3,2,48.56
2.8,74.4,Yes,5.0,2,39.19
2.6,68.8,No,8.6,7,46.31
2.1,51.0,No,6.0,5,25.88
6.0,92.8,No,5.1,5,62.95
7.3,54.7,No,7.5,2,42.5
5.6,45.4,No,5.2,7,40.12
2.2,84.3,Yes,8.7,2,44.71
7.5,50.4,Yes,5.8,5,43.54
6.1,61.9,Yes,7.3,5,42.03
4.1,41.7,No,5.7,3,31.84
6.4,48.1,No,8.0,2,30.49
3.1,50.2,No,8.5,3,30.16
3.8,43.2,No,7.9,5,33.74
8.3,78.7,No,8.2,6,56.41
3.3,89.4,No,4.5,4,54.32
4.8,62.0,No,8.6,7,39.19
8.1,91.6,No,7.1,2,74.02
6.7,52.6,Yes,8.3,6,35.28
1.5,59.2,No,7.4,9,28.36
2.2,48.9,No,5.0,5,21.3
1.1,76.6,No,7.0,4,35.29
6.0,64.8,No,4.5,9,50.05
4.6,76.2,No,7.5,6,57.15
2.1,84.9,No,6.0,4,51.39
8.7,72.2,No,4.8,1,53.62
5.2,77.0,Yes,8.9,9,56.61
2.9,95.2,Yes,8.5,3,54.32
5.0,57.6,No,8.5,6,41.85
6.4,61.2,No,7.9,1,40.95
1.6,82.3,No,7.5,6,46.97
3.2,76.1,No,7.3,3,40.98
7.5,50.5,No,4.5,3,33.36
4.7,62.2,Yes,8.5,7,44.61
5.4,67.6,No,8.4,9,49.57
4.5,64.7,No,7.7,6,40.51
1.4,50.5,No,8.6,1,19.88
2.3,94.5,No,6.8,9,59.68
4.6,85.0,No,6.2,5,55.71
2.7,68.4,No,8.8,2,45.37
1.4,80.1,Yes,6.3,3,48.53
7.7,92.9,Yes,7.2,5,63.74
8.8,48.0,Yes,5.9,2,40.63
7.3,54.8,Yes,7.2,3,37.54
7.8,72.0,Yes,7.6,8,51.37
2.9,87.1,Yes,7.1,6,62.56
8.7,42.1,No,6.6,2,42.15
2.6,98.1,No,5.5,2,51.55
8.6,66.8,No,7.2,1,55.29
9.0,61.2,No,8.5,7,58.7
6.7,57.3,No,4.0,6,34.83
8.8,50.3,No,4.7,6,47.37
5.6,86.7,No,4.6,5,54.79
3.1,96.4,Yes,8.6,3,59.39
4.5,64.4,No,7.3,8,56.25
5.7,96.2,No,8.8,3,69.33
1.6,88.6,No,6.9,5,48.38
6.0,68.4,Yes,6.3,8,57.09
8.8,79.8,No,8.0,3,52.88
2.5,65.7,Yes,4.8,5,40.14
7.3,73.0,Yes,5.9,6,57.9
8.3,43.4,No,6.3,1,37.87
8.5,81.1,No,5.5,2,56.78
8.7,43.1,No,5.9,7,42.04
5.2,88.2,No,4.4,9,63.23
8.8,88.7,No,5.0,4,56.15
7.1,54.0,No,5.7,5,40.05
2.3,59.1,Yes,8.0,4,30.47
4.8,68.4,Yes,4.9,3,46.59
6.7,75.2,No,5.7,2,56.39
3.0,57.0,No,4.3,3,28.3
6.1,75.0,Yes,6.8,2,46.75
6.3,57.6,Yes,7.1,8,46.56
2.3,43.3,No,8.3,1,16.24
